#  | Time(s)  | Iters | Value    | x final
---+----------+-------+----------+---------------------
1  | 1.489085 | 28    | 0.409364 | [0.894247, 1.789397]
2  | 1.235719 | 32    | 0.409362 | [0.893870, 1.790527]
3  | 1.082686 | 31    | 0.409363 | [0.893946, 1.790301]
4  | 1.047740 | 31    | 0.409363 | [0.894092, 1.789862]
5  | 1.440842 | 32    | 0.409364 | [0.894284, 1.789285]
6  | 1.139069 | 30    | 0.409367 | [0.895131, 1.786744]
7  | 1.126395 | 32    | 0.409363 | [0.894047, 1.789995]
8  | 1.564762 | 33    | 0.409363 | [0.893926, 1.790359]
9  | 2.008716 | 33    | 0.409363 | [0.893998, 1.790141]
10 | 1.510566 | 32    | 0.409362 | [0.893911, 1.790403]
