#  | Time(s)  | Iters | Value     | x final
---+----------+-------+-----------+-------------------------------------------
1  | 3.125859 | 38    | -3.090767 | [-1.069016, 0.417647, -0.532558, 0.000022]
2  | 3.376504 | 42    | -3.090767 | [-1.069795, 0.417966, -0.532273, 0.000000]
3  | 3.359701 | 41    | -3.090767 | [-1.069610, 0.417896, -0.532363, 0.000014]
4  | 3.596762 | 44    | -3.090767 | [-1.069956, 0.418058, -0.532320, 0.000005]
5  | 3.124562 | 41    | -3.090767 | [-1.069584, 0.417901, -0.532434, 0.000007]
6  | 3.700269 | 47    | -3.090767 | [-1.070102, 0.418157, -0.532424, 0.000004]
7  | 3.406564 | 44    | -3.090767 | [-1.069881, 0.418059, -0.532475, 0.000001]
8  | 2.954161 | 37    | -3.090768 | [-1.067557, 0.417538, -0.535037, 0.000020]
9  | 3.307867 | 47    | -3.090767 | [-1.070151, 0.418162, -0.532345, 0.000000]
10 | 3.687243 | 44    | -3.090767 | [-1.069958, 0.418055, -0.532303, 0.000009]
